Time,BAFU_2088_PegelRadar
2021-07-16T09:00:00Z,471.051
2021-07-16T09:10:00Z,471.052
2021-07-16T09:20:00Z,471.055
2021-07-16T09:30:00Z,471.056
2021-07-16T09:40:00Z,471.057
2021-07-16T09:50:00Z,471.059
2021-07-16T10:00:00Z,471.061
2021-07-16T10:10:00Z,471.062
2021-07-16T10:20:00Z,471.062
2021-07-16T10:30:00Z,471.06
2021-07-16T10:40:00Z,471.061
2021-07-16T10:50:00Z,471.062
2021-07-16T11:00:00Z,471.064
2021-07-16T11:10:00Z,471.067
2021-07-16T11:20:00Z,471.07
2021-07-16T11:30:00Z,471.072
2021-07-16T11:40:00Z,471.072
2021-07-16T11:50:00Z,471.072
2021-07-16T12:00:00Z,471.073
2021-07-16T12:10:00Z,471.075
2021-07-16T12:20:00Z,471.076
2021-07-16T12:30:00Z,471.076
2021-07-16T12:40:00Z,471.077
2021-07-16T12:50:00Z,471.077
2021-07-16T13:00:00Z,471.076
2021-07-16T13:10:00Z,471.078
2021-07-16T13:20:00Z,471.081
2021-07-16T13:30:00Z,471.083
2021-07-16T13:40:00Z,471.082
2021-07-16T13:50:00Z,471.083
2021-07-16T14:00:00Z,471.083
2021-07-16T14:10:00Z,471.085
2021-07-16T14:20:00Z,471.084
2021-07-16T14:30:00Z,471.085
2021-07-16T14:40:00Z,471.086
2021-07-16T14:50:00Z,471.087
2021-07-16T15:00:00Z,471.087
2021-07-16T15:10:00Z,471.09
2021-07-16T15:20:00Z,471.092
2021-07-16T15:30:00Z,471.089
2021-07-16T15:40:00Z,471.09
2021-07-16T15:50:00Z,471.088
2021-07-16T16:00:00Z,471.089
2021-07-16T16:10:00Z,471.09
2021-07-16T16:20:00Z,471.09
2021-07-16T16:30:00Z,471.091
2021-07-16T16:40:00Z,471.094
2021-07-16T16:50:00Z,471.095
2021-07-16T17:00:00Z,471.094
2021-07-16T17:10:00Z,471.093
2021-07-16T17:20:00Z,471.092
2021-07-16T17:30:00Z,471.092
2021-07-16T17:40:00Z,471.093
2021-07-16T17:50:00Z,471.093
2021-07-16T18:00:00Z,471.092
2021-07-16T18:10:00Z,471.091
2021-07-16T18:20:00Z,471.091
2021-07-16T18:30:00Z,471.093
2021-07-16T18:40:00Z,471.092
2021-07-16T18:50:00Z,471.092
2021-07-16T19:00:00Z,471.091
2021-07-16T19:10:00Z,471.09
2021-07-16T19:20:00Z,471.089
2021-07-16T19:30:00Z,471.091
2021-07-16T19:40:00Z,471.089
2021-07-16T19:50:00Z,471.089
2021-07-16T20:00:00Z,471.089
2021-07-16T20:10:00Z,471.089
2021-07-16T20:20:00Z,471.088
2021-07-16T20:30:00Z,471.088
2021-07-16T20:40:00Z,471.088
2021-07-16T20:50:00Z,471.088
2021-07-16T21:00:00Z,471.088
2021-07-16T21:10:00Z,471.086
2021-07-16T21:20:00Z,471.086
2021-07-16T21:30:00Z,471.086
2021-07-16T21:40:00Z,471.086
2021-07-16T21:50:00Z,471.084
2021-07-16T22:00:00Z,471.084
2021-07-16T22:10:00Z,471.084
2021-07-16T22:20:00Z,471.083
2021-07-16T22:30:00Z,471.083
2021-07-16T22:40:00Z,471.082
2021-07-16T22:50:00Z,471.082
2021-07-16T23:00:00Z,471.083
2021-07-16T23:10:00Z,471.083
2021-07-16T23:20:00Z,471.081
2021-07-16T23:30:00Z,471.081
2021-07-16T23:40:00Z,471.08
2021-07-16T23:50:00Z,471.079
2021-07-17T00:00:00Z,471.078
2021-07-17T00:10:00Z,471.076
2021-07-17T00:20:00Z,471.075
2021-07-17T00:30:00Z,471.075
2021-07-17T00:40:00Z,471.074
2021-07-17T00:50:00Z,471.073
2021-07-17T01:00:00Z,471.07
2021-07-17T01:10:00Z,471.07
2021-07-17T01:20:00Z,471.069
2021-07-17T01:30:00Z,471.069
2021-07-17T01:40:00Z,471.068
2021-07-17T01:50:00Z,471.066
2021-07-17T02:00:00Z,471.064
2021-07-17T02:10:00Z,471.063
2021-07-17T02:20:00Z,471.062
2021-07-17T02:30:00Z,471.061
2021-07-17T02:40:00Z,471.061
2021-07-17T02:50:00Z,471.06
2021-07-17T03:00:00Z,471.059
2021-07-17T03:10:00Z,471.057
2021-07-17T03:20:00Z,471.056
