Time,BAFU_2063_AbflussPneumatikoben
2021-07-14T13:55:00Z,771.132
2021-07-14T14:00:00Z,771.499
2021-07-14T14:05:00Z,770.032
2021-07-14T14:10:00Z,768.933
2021-07-14T14:15:00Z,769.299
2021-07-14T14:20:00Z,768.933
2021-07-14T14:25:00Z,768.933
2021-07-14T14:30:00Z,768.567
2021-07-14T14:35:00Z,768.567
2021-07-14T14:40:00Z,769.666
2021-07-14T14:45:00Z,770.032
2021-07-14T14:50:00Z,770.032
2021-07-14T14:55:00Z,769.666
2021-07-14T15:00:00Z,770.032
2021-07-14T15:05:00Z,770.398
2021-07-14T15:10:00Z,770.032
2021-07-14T15:15:00Z,770.765
2021-07-14T15:20:00Z,769.299
2021-07-14T15:25:00Z,769.299
2021-07-14T15:30:00Z,768.933
2021-07-14T15:35:00Z,768.567
2021-07-14T15:40:00Z,767.469
2021-07-14T15:45:00Z,766.371
2021-07-14T15:50:00Z,764.91
2021-07-14T15:55:00Z,763.814
2021-07-14T16:00:00Z,763.083
2021-07-14T16:05:00Z,761.989
2021-07-14T16:10:00Z,761.259
2021-07-14T16:15:00Z,761.259
2021-07-14T16:20:00Z,760.895
2021-07-14T16:25:00Z,760.53
2021-07-14T16:30:00Z,760.895
2021-07-14T16:35:00Z,761.259
2021-07-14T16:40:00Z,761.259
2021-07-14T16:45:00Z,761.259
2021-07-14T16:50:00Z,761.259
2021-07-14T16:55:00Z,760.895
2021-07-14T17:00:00Z,761.989
2021-07-14T17:05:00Z,761.259
2021-07-14T17:10:00Z,761.624
2021-07-14T17:15:00Z,761.259
2021-07-14T17:20:00Z,761.259
2021-07-14T17:25:00Z,761.989
2021-07-14T17:30:00Z,761.624
2021-07-14T17:35:00Z,762.718
2021-07-14T17:40:00Z,762.718
2021-07-14T17:45:00Z,762.353
2021-07-14T17:50:00Z,762.718
2021-07-14T17:55:00Z,763.448
2021-07-14T18:00:00Z,763.814
2021-07-14T18:05:00Z,764.544
2021-07-14T18:10:00Z,764.91
2021-07-14T18:15:00Z,765.64
2021-07-14T18:20:00Z,767.103
2021-07-14T18:25:00Z,767.835
2021-07-14T18:30:00Z,769.666
2021-07-14T18:35:00Z,771.499
2021-07-14T18:40:00Z,775.171
2021-07-14T18:45:00Z,777.376
2021-07-14T18:50:00Z,779.218
2021-07-14T18:55:00Z,781.799
2021-07-14T19:00:00Z,783.275
2021-07-14T19:05:00Z,784.752
2021-07-14T19:10:00Z,784.752
2021-07-14T19:15:00Z,786.601
2021-07-14T19:20:00Z,785.122
2021-07-14T19:25:00Z,786.231
2021-07-14T19:30:00Z,785.492
2021-07-14T19:35:00Z,785.492
2021-07-14T19:40:00Z,785.492
2021-07-14T19:45:00Z,785.492
2021-07-14T19:50:00Z,784.752
2021-07-14T19:55:00Z,784.383
2021-07-14T20:00:00Z,784.383
2021-07-14T20:05:00Z,784.013
2021-07-14T20:10:00Z,784.383
2021-07-14T20:15:00Z,784.013
2021-07-14T20:20:00Z,783.644
2021-07-14T20:25:00Z,783.644
2021-07-14T20:30:00Z,784.383
2021-07-14T20:35:00Z,785.862
2021-07-14T20:40:00Z,785.862
2021-07-14T20:45:00Z,786.601
2021-07-14T20:50:00Z,786.601
2021-07-14T20:55:00Z,786.971
2021-07-14T21:00:00Z,787.341
2021-07-14T21:05:00Z,786.601
2021-07-14T21:10:00Z,786.971
2021-07-14T21:15:00Z,787.341
2021-07-14T21:20:00Z,786.971
2021-07-14T21:25:00Z,786.601
2021-07-14T21:30:00Z,786.971
2021-07-14T21:35:00Z,786.601
2021-07-14T21:40:00Z,786.231
2021-07-14T21:45:00Z,786.231
2021-07-14T21:50:00Z,786.231
2021-07-14T21:55:00Z,786.231
2021-07-14T22:00:00Z,786.231
2021-07-14T22:05:00Z,786.231
2021-07-14T22:10:00Z,785.862
2021-07-14T22:15:00Z,785.492
2021-07-14T22:20:00Z,785.122
2021-07-14T22:25:00Z,785.492
2021-07-14T22:30:00Z,784.383
2021-07-14T22:35:00Z,784.383
2021-07-14T22:40:00Z,784.752
2021-07-14T22:45:00Z,785.122
2021-07-14T22:50:00Z,785.862
2021-07-14T22:55:00Z,787.341
2021-07-14T23:00:00Z,789.192
2021-07-14T23:05:00Z,793.272
2021-07-14T23:10:00Z,794.758
2021-07-14T23:15:00Z,797.734
2021-07-14T23:20:00Z,801.087
2021-07-14T23:25:00Z,803.325
2021-07-14T23:30:00Z,805.193
2021-07-14T23:35:00Z,807.437
2021-07-14T23:40:00Z,808.186
2021-07-14T23:45:00Z,810.433
2021-07-14T23:50:00Z,810.807
2021-07-14T23:55:00Z,811.933
2021-07-15T00:00:00Z,812.308
2021-07-15T00:05:00Z,812.684
2021-07-15T00:10:00Z,812.684
2021-07-15T00:15:00Z,813.809
2021-07-15T00:20:00Z,814.185
